Date,Close/Last,Open,High,Low
2023-09-26,4273.53,4312.88,4313.01,4265.98
2023-09-25,4337.44,4310.62,4338.51,4302.7
2023-09-22,4320.06,4341.74,4357.4,4316.49
2023-09-21,4330.0,4374.36,4375.7,4329.17
2023-09-20,4402.2,4452.81,4461.03,4401.38
2023-09-19,4443.95,4445.41,4449.85,4416.61
2023-09-18,4453.53,4445.13,4466.36,4442.11
2023-09-15,4450.32,4497.98,4497.98,4447.21
2023-09-14,4505.1,4487.78,4511.99,4478.69
2023-09-13,4467.44,4462.65,4479.39,4453.52
2023-09-12,4461.9,4473.27,4487.11,4456.83
2023-09-11,4487.46,4480.98,4490.77,4467.89
2023-09-08,4457.49,4451.3,4473.53,4448.38
2023-09-07,4451.14,4434.55,4457.81,4430.46
2023-09-06,4465.48,4490.35,4490.35,4442.38
2023-09-05,4496.83,4510.06,4514.29,4496.01
2023-09-01,4515.77,4530.6,4541.25,4501.35
2023-08-31,4507.66,4517.01,4532.26,4507.39
2023-08-30,4514.87,4500.34,4521.65,4493.59
2023-08-29,4497.63,4432.75,4500.14,4431.68
2023-08-28,4433.31,4426.03,4439.56,4414.98
2023-08-25,4405.71,4389.38,4418.46,4356.29
2023-08-24,4376.31,4455.16,4458.3,4375.55
2023-08-23,4436.01,4396.44,4443.18,4396.44
2023-08-22,4387.55,4415.33,4418.59,4382.77
2023-08-21,4399.77,4380.28,4407.55,4360.3
2023-08-18,4369.71,4344.88,4381.82,4335.31
2023-08-17,4370.36,4416.32,4421.17,4364.83
2023-08-16,4404.33,4433.79,4449.95,4403.55
2023-08-15,4437.86,4478.87,4478.87,4432.19
2023-08-14,4489.72,4458.13,4490.33,4453.44
2023-08-11,4464.05,4450.69,4476.23,4443.98
2023-08-10,4468.83,4487.16,4527.37,4457.92
2023-08-09,4467.71,4501.57,4502.44,4461.33
2023-08-08,4499.38,4498.03,4503.31,4464.39
2023-08-07,4518.44,4491.58,4519.84,4491.15
2023-08-04,4478.03,4513.96,4540.34,4474.55
2023-08-03,4501.89,4494.27,4519.49,4485.54
2023-08-02,4513.39,4550.93,4550.93,4505.75
2023-08-01,4576.73,4578.83,4584.62,4567.53
2023-07-31,4588.96,4584.82,4594.22,4573.14
2023-07-28,4582.23,4565.75,4590.16,4564.01
2023-07-27,4537.41,4598.26,4607.07,4528.56
2023-07-26,4566.75,4558.96,4582.47,4547.58
2023-07-25,4567.46,4555.19,4580.62,4552.42
2023-07-24,4554.64,4543.39,4563.41,4541.29
2023-07-21,4536.34,4550.16,4555.0,4535.79
2023-07-20,4534.87,4554.38,4564.74,4527.56
2023-07-19,4565.72,4563.87,4578.43,4557.48
2023-07-18,4554.98,4521.78,4562.3,4514.59
2023-07-17,4522.79,4508.86,4532.85,4504.9
2023-07-14,4505.42,4514.61,4527.76,4499.56
2023-07-13,4510.04,4491.5,4517.38,4489.36
2023-07-12,4472.16,4467.69,4488.34,4463.23
2023-07-11,4439.26,4415.55,4443.64,4408.46
2023-07-10,4409.53,4394.23,4412.6,4389.92
2023-07-07,4398.95,4404.54,4440.39,4397.4
2023-07-06,4411.59,4422.62,4422.62,4385.05
2023-07-05,4446.82,4442.04,4454.06,4436.61
2023-07-03,4455.59,4450.48,4456.46,4442.29
2023-06-30,4450.38,4422.44,4458.48,4422.44
2023-06-29,4396.44,4374.94,4398.39,4371.97
2023-06-28,4376.86,4367.48,4390.35,4360.22
2023-06-27,4378.41,4337.36,4384.42,4335.0
2023-06-26,4328.82,4344.84,4362.06,4328.08
2023-06-23,4348.33,4354.17,4366.55,4341.34
2023-06-22,4381.89,4355.4,4382.25,4351.82
2023-06-21,4365.69,4380.01,4386.22,4360.14
2023-06-20,4388.71,4396.11,4400.15,4367.19
2023-06-16,4409.59,4440.95,4448.47,4407.44
2023-06-15,4425.84,4365.33,4439.2,4362.6
2023-06-14,4372.59,4366.29,4391.82,4337.85
2023-06-13,4369.01,4352.61,4375.37,4349.31
2023-06-12,4338.93,4308.32,4340.13,4304.37
2023-06-09,4298.86,4304.88,4322.62,4291.7
2023-06-08,4293.93,4268.69,4298.01,4261.07
2023-06-07,4267.52,4285.47,4299.19,4263.96
2023-06-06,4283.85,4271.34,4288.33,4263.09
2023-06-05,4273.79,4282.99,4299.28,4266.82
2023-06-02,4282.37,4241.01,4290.67,4241.01
2023-06-01,4221.02,4183.03,4232.43,4171.64
2023-05-31,4179.83,4190.74,4195.44,4166.15
2023-05-30,4205.52,4226.71,4231.1,4192.18
2023-05-26,4205.45,4156.16,4212.87,4156.16
2023-05-25,4151.28,4155.71,4165.74,4129.73
2023-05-24,4115.24,4132.96,4132.96,4103.98
2023-05-23,4145.58,4176.8,4185.68,4142.54
2023-05-22,4192.63,4190.78,4209.22,4179.68
2023-05-19,4191.98,4204.15,4212.91,4180.2
2023-05-18,4198.05,4157.68,4202.2,4153.5
2023-05-17,4158.77,4122.85,4164.67,4113.62
2023-05-16,4109.9,4127.95,4135.54,4109.86
2023-05-15,4136.28,4126.65,4141.25,4110.27
2023-05-12,4124.08,4138.54,4143.74,4099.12
2023-05-11,4130.62,4132.24,4132.8,4109.29
2023-05-10,4137.64,4143.74,4154.28,4098.92
